[INFO ] [2023-07-19 00:31:08,625] Register Step 01: Navigate to 'Register' page
[INFO ] [2023-07-19 00:31:09,699] Register Step 02: Enter to Firstname textbox with value is 'Fredrick'
[INFO ] [2023-07-19 00:31:09,841] Register Step 03: Enter to Lastname textbox with value is 'Schuppe'
[INFO ] [2023-07-19 00:31:10,299] Register Step 04: Enter to Email textbox with value is 'in.ledner@yahoo.com'
[INFO ] [2023-07-19 00:31:10,515] Register Step 05: Enter to Password textbox with value is 'TL*#26QS$R'
[INFO ] [2023-07-19 00:31:10,627] Register - Step 06: Enter to Confirm Password textbox with value is 'TL*#26QS$R'
[INFO ] [2023-07-19 00:31:20,767] Register - Step 07: Click to 'Register' button
[INFO ] [2023-07-19 00:31:21,568] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-07-19 00:31:21,930] Login - Step 01: Navigate to Login page
[INFO ] [2023-07-19 00:31:22,307] Login - Step 02: Enter to Email textbox with value is 'in.ledner@yahoo.com'
[INFO ] [2023-07-19 00:31:22,439] Login Step 03: Enter to Password textbox with value is 'TL*#26QS$R'
[INFO ] [2023-07-19 00:31:22,562] Login - Step 04: Click to Login button
[INFO ] [2023-07-19 00:31:23,238] Login Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-07-19 00:31:23,693] My Account Step 01: Navigate to 'My Account' page
[INFO ] [2023-07-19 00:31:24,074] My Account Step 02: Verify 'Customer Infor' page is displayed
[INFO ] [2023-07-19 00:31:24,133] My Account Step 03: Verify 'First Name' value is correctly
[INFO ] [2023-07-19 00:31:24,178] My Account Step 04: Verify 'Last Name' value is correctly
[INFO ] [2023-07-19 00:31:24,208] My Account Step 05: Verify 'Email' value is correctly
[INFO ] [2023-07-19 00:31:24,241] OS name = windows 11
[INFO ] [2023-07-19 00:31:24,241] Driver instance name = chromedriver: opera on windows (b9471c2071752e88b7c14af694d09880)
[INFO ] [2023-07-19 00:34:40,702] Register Step 01: Navigate to 'Register' page
[INFO ] [2023-07-19 00:34:41,722] Register Step 02: Enter to Firstname textbox with value is 'Granville'
[INFO ] [2023-07-19 00:34:41,859] Register Step 03: Enter to Lastname textbox with value is 'Pouros'
[INFO ] [2023-07-19 00:34:42,320] Register Step 04: Enter to Email textbox with value is 'lavern.dietrich@gmail.com'
[INFO ] [2023-07-19 00:34:42,519] Register Step 05: Enter to Password textbox with value is 'iF%fL!PF!P'
[INFO ] [2023-07-19 00:34:42,643] Register - Step 06: Enter to Confirm Password textbox with value is 'iF%fL!PF!P'
[INFO ] [2023-07-19 00:34:52,755] Register - Step 07: Click to 'Register' button
[INFO ] [2023-07-19 00:34:53,437] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-07-19 00:34:53,707] Login - Step 01: Navigate to Login page
[INFO ] [2023-07-19 00:34:54,123] Login - Step 02: Enter to Email textbox with value is 'lavern.dietrich@gmail.com'
[INFO ] [2023-07-19 00:34:54,256] Login Step 03: Enter to Password textbox with value is 'iF%fL!PF!P'
[INFO ] [2023-07-19 00:34:54,383] Login - Step 04: Click to Login button
[INFO ] [2023-07-19 00:34:55,045] Login Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-07-19 00:34:55,280] My Account Step 01: Navigate to 'My Account' page
[INFO ] [2023-07-19 00:34:55,710] My Account Step 02: Verify 'Customer Infor' page is displayed
[INFO ] [2023-07-19 00:34:55,752] My Account Step 03: Verify 'First Name' value is correctly
[INFO ] [2023-07-19 00:34:55,797] My Account Step 04: Verify 'Last Name' value is correctly
[INFO ] [2023-07-19 00:34:55,824] My Account Step 05: Verify 'Email' value is correctly
[INFO ] [2023-07-19 00:34:55,858] OS name = windows 11
[INFO ] [2023-07-19 00:34:55,858] Driver instance name = chromedriver: opera on windows (60142da204babf2f20778cd108821a4a)
[INFO ] [2023-07-20 00:40:48,220] Register Step 01: Navigate to 'Register' page
[INFO ] [2023-07-20 00:40:48,831] Register Step 02: Enter to Firstname textbox with value is 'Darius'
[INFO ] [2023-07-20 00:40:48,984] Register Step 03: Enter to Lastname textbox with value is 'Treutel'
[INFO ] [2023-07-20 00:40:49,482] Register Step 04: Enter to Email textbox with value is 'theron.huel@hotmail.com'
[INFO ] [2023-07-20 00:40:49,683] Register Step 05: Enter to Password textbox with value is 'zLFuj#^10g8'
[INFO ] [2023-07-20 00:40:49,804] Register - Step 06: Enter to Confirm Password textbox with value is 'zLFuj#^10g8'
[INFO ] [2023-07-20 00:40:59,927] Register - Step 07: Click to 'Register' button
[INFO ] [2023-07-20 00:41:00,655] Register - Step 08: Verify register success message is displayed
[INFO ] [2023-07-20 00:41:01,058] Login - Step 01: Navigate to Login page
[INFO ] [2023-07-20 00:41:01,442] Login - Step 02: Enter to Email textbox with value is 'theron.huel@hotmail.com'
[INFO ] [2023-07-20 00:41:01,596] Login Step 03: Enter to Password textbox with value is 'zLFuj#^10g8'
[INFO ] [2023-07-20 00:41:01,727] Login - Step 04: Click to Login button
[INFO ] [2023-07-20 00:41:02,431] Login Step 05: Verify 'My Account' link is displayed
[INFO ] [2023-07-20 00:41:02,992] My Account Step 01: Navigate to 'My Account' page
[INFO ] [2023-07-20 00:41:03,378] My Account Step 02: Verify 'Customer Infor' page is displayed
[INFO ] [2023-07-20 00:41:03,446] My Account Step 03: Verify 'First Name' value is correctly
[INFO ] [2023-07-20 00:41:03,505] My Account Step 04: Verify 'Last Name' value is correctly
[INFO ] [2023-07-20 00:41:03,566] My Account Step 05: Verify 'Email' value is correctly
[INFO ] [2023-07-20 00:41:03,630] OS name = windows 11
[INFO ] [2023-07-20 00:41:03,630] Driver instance name = chromedriver: chrome on windows (114a5e0ec878a3e65a76ac0fab54da27)
[INFO ] [2023-07-20 00:50:01,427] OS name = windows 11
[INFO ] [2023-07-20 00:50:01,428] Driver instance name = chromedriver: chrome on windows (63b2bc27017056fc273d8590227b8587)
[INFO ] [2023-07-20 04:00:58,626] OS name = windows 11
[INFO ] [2023-07-20 04:00:58,627] Driver instance name = chromedriver: chrome on windows (e7fc8ee7e91daf724260080590f8a781)
[INFO ] [2023-07-20 04:01:17,431] Register Step 01: Navigate to 'Register' page
[INFO ] [2023-07-20 04:01:18,726] Register Step 02: Enter to Firstname textbox with value is 'Mistie'
